Product,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Logitech MX Master 3S Mouse,10139,103.88,63.96,1053239.32,648490.44,404748.88
Keychron Q6 Pro Keyboard (Red),13827,208.73,121.74,2886109.71,1683298.98,1202810.73
Anker PowerExpand USB-C Hub,2980,51.26,29.38,152754.80,87552.40,65202.40
"Dell U2723QE 27"" 4K Monitor",9202,521.58,383.32,4799579.16,3527310.64,1272268.52
Herman Miller Aeron Chair (Size B),15985,1391.44,788.35,22242168.40,12601774.75,9640393.65
Flexispot E7 Pro Desk (Bamboo),6729,413.61,247.94,2783181.69,1668388.26,1114793.43
Elgato Facecam Pro 4K,7464,277.54,163.73,2071558.56,1222080.72,849477.84
Sony WH-1000XM5 Headphones,9792,350.95,174.68,3436502.40,1710466.56,1726035.84
Rain Design mStand (Silver),17871,49.68,25.41,887831.28,454102.11,433729.17
BenQ ScreenBar Halo Light,2464,166.02,74.90,409073.28,184553.60,224519.68
TOTAL,96453,—,—,40721998.60,23788018.46,16933980.14
